ACCEPT	確定
ATTACH_METIN_INFO	確定要鑲嵌嗎?
ATTACH_METIN_TITLE	鑲嵌隕石
CANCEL	取消
CHANGE_PASSWORD_CONFIRM	確認新密碼
CHANGE_PASSWORD_NEW	新密碼
CHANGE_PASSWORD_OLD	舊密碼
CHANGE_PASSWORD_TITLE	更改密碼
CHARACTER_ACTION	動作
CHARACTER_EMOTICON	表情
CHARACTER_MAIN	角色
CHARACTER_MUTUAL_ACTION	一般動作
CHARACTER_NORMAL_ACTION	相互作用動作
CHARACTER_QUEST	任務
CHARACTER_SKILL	技能
CLOSE	關閉
CREATE_ATT_GRADE	力量
CREATE_CREATE	創建
CREATE_DEX_GRADE	敏捷
CREATE_HP	體力
CREATE_LAST_POINT	剩餘點數
CREATE_MAN	男性
CREATE_NAME	角色名稱
CREATE_NEXT	下一頁
CREATE_PREV	上一頁
CREATE_SEX	性別
CREATE_SHAPE	基本著裝
CREATE_SP	智力
CREATE_STAT_RESET	初始化
CREATE_WOMAN	女性
CUBE_TITLE	製藥視窗
EMPIRE_EXIT	退出
EMPIRE_NEXT	下一頁
EMPIRE_PREV	上一頁
EMPIRE_SELECT	選擇
EXCHANGE_ACCEPT	同意
EXCHANGE_TITLE	交換
GAMEOPTION_TITLE	遊戲設置
GAME_EXIT_OBSERVER	結束觀戰
GAME_HELP	說明
GAME_QUEST	任務
GAME_SKILL_UP	技能修煉
GAME_STAT_UP	屬性修煉
GUILD_BASENAME	基地名稱
GUILD_BOARD_ID	帳號
GUILD_BOARD_REFRESH	更新 (F5)
GUILD_BOARD_TEXT	內容
GUILD_BUILDING_CATEGORY_TITLE	建築物種類
GUILD_BUILDING_CHANGE	變更
GUILD_BUILDING_DIRECTION	方向
GUILD_BUILDING_GRADE	級別
GUILD_BUILDING_INFO	建築物資訊及維持資訊
GUILD_BUILDING_LIST_TITLE	建築物列表
GUILD_BUILDING_LOG	圓木
GUILD_BUILDING_NAME	建築物名稱
GUILD_BUILDING_OPERATE	啟動
GUILD_BUILDING_PLY	合板
GUILD_BUILDING_POSITION	位置
GUILD_BUILDING_PREVIEW	預演
GUILD_BUILDING_PRICE	價格	
GUILD_BUILDING_REFRESH	更新 (F5)
GUILD_BUILDING_STONE	硝石
GUILD_BUILDING_TITLE	建造公會建築物
GUILD_CRYSTAL	水晶
GUILD_DEPOSIT	存錢
GUILD_DROP_RESOURCE1	把資源
GUILD_DROP_RESOURCE2	丟在這裏
GUILD_GEM	鑽石
GUILD_GRADE_CHANGE_GRADE_NAME	請輸入新的職位名
GUILD_GRADE_NUM	級別
GUILD_GRADE_PERMISSION_DELETE	強行退出
GUILD_GRADE_PERMISSION_JOIN	加入公會
GUILD_GRADE_PERMISSION_NOTICE	公會公告
GUILD_GRADE_PERMISSION_SKILL	公會技能
GUILD_GRADE_RANK	職位
GUILD_GRADE_WRITE	上書
GUILD_INFO	公會基本資訊
GUILD_INFO_CUR_EXP	當前經驗值
GUILD_INFO_DECALRE_WAR	幫派宣戰
GUILD_INFO_ENEMY_GUILD	正在戰爭中的公會
GUILD_INFO_ENEMY_GUILD_EMPTY	沒有
GUILD_INFO_LEVEL	公會等級
GUILD_INFO_MARK	公會會徽
GUILD_INFO_MASTER	公會會長
GUILD_INFO_MASTER_VALUE	公會會長
GUILD_INFO_MEMBER_AVG_LEVEL	公會會員平均等級
GUILD_INFO_MEMBER_NUM	公會人數
GUILD_INFO_NAME	公會名稱
GUILD_INFO_NAME_VALUE	為公會名稱
GUILD_INFO_OFFER_EXP	分配
GUILD_INFO_REST_EXP	升級經驗值
GUILD_INFO_UPLOAD_MARK	重新上載
GUILD_INFO_UPLOAD_SYMBOL	上傳會徽
GUILD_MARK	公會會徽
GUILD_MEMBER_JOB	職業
GUILD_MEMBER_KNIGHT	將領
