ACCEPT	確定
ATTACH_METIN_INFO	装着しますか?
ATTACH_METIN_TITLE	メティンストーン装着
CANCEL	取消
CHANGE_PASSWORD_CONFIRM	新しいパスワード確認
CHANGE_PASSWORD_NEW	新しいパスワード
CHANGE_PASSWORD_OLD	既存のパスワード
CHANGE_PASSWORD_TITLE	パスワード変更
CHARACTER_ACTION	アクション
CHARACTER_EMOTICON	絵文字
CHARACTER_MAIN	キャラクター
CHARACTER_QUEST	クエスト
CHARACTER_SKILL	スキル
CHARACTER_MUTUAL_ACTION	相互アクション
CHARACTER_NORMAL_ACTION	一般アクション
CLOSE	閉じる
CREATE_ATT_GRADE	筋力
CREATE_CREATE	作成
CREATE_DEX_GRADE	敏捷
CREATE_HP	体力
CREATE_LAST_POINT	残りのポイント
CREATE_NAME	キャラクタ－名
CREATE_NEXT	次へ
CREATE_PREV	前へ
CREATE_SHAPE	基本服装
CREATE_SP	知力
CREATE_STAT_RESET	初期化
EMPIRE_EXIT	出る
EMPIRE_NEXT	次へ
EMPIRE_PREV	前へ
EMPIRE_SELECT	選択する
EXCHANGE_ACCEPT	同意
EXCHANGE_TITLE	交換
GAMEOPTION_TITLE	ゲームオプション
GAME_EXIT_OBSERVER	観戦終了
GAME_HELP	ヘルプ
GAME_QUEST	クエスト
GAME_SKILL_UP	技術修練
GAME_STAT_UP	能力修練
GUILD_BASENAME	基地名
GUILD_BOARD_ID	ID
GUILD_BOARD_REFRESH	更新する(F5)
GUILD_BOARD_TEXT	内容
GUILD_BUILDING_CATEGORY_TITLE	建物の種類
GUILD_BUILDING_CHANGE	変更
GUILD_BUILDING_DIRECTION	方向
GUILD_BUILDING_GRADE	等級
GUILD_BUILDING_INFO	建物の情報及び維持情報
GUILD_BUILDING_LIST_TITLE	建物のリスト
GUILD_BUILDING_NAME	建物の名前
GUILD_BUILDING_OPERATE	作動
GUILD_BUILDING_POSITION	位置
GUILD_BUILDING_PREVIEW	プレビュー
GUILD_BUILDING_REFRESH	更新する(F5)
GUILD_BUILDING_TITLE	ギルドの建物を建てる
GUILD_CRYSTAL	水晶
GUILD_DEPOSIT	入金
GUILD_DROP_RESOURCE1	資源をここに
