ACCEPT	確定
ATTACH_METIN_INFO	請問要裝備嗎?
ATTACH_METIN_TITLE	裝備醛石
CANCEL	取消
CHANGE_PASSWORD_CONFIRM	確認新密碼
CHANGE_PASSWORD_NEW	新密碼
CHANGE_PASSWORD_OLD	舊密碼
CHANGE_PASSWORD_TITLE	變更密碼
CHARACTER_ACTION	動作
CHARACTER_EMOTICON	表情符號
CHARACTER_MAIN	角色
CHARACTER_QUEST	任務
CHARACTER_SKILL	技能
CHARACTER_MUTUAL_ACTION	相互動作
CHARACTER_NORMAL_ACTION	一般動作
CLOSE	關閉
CREATE_ATT_GRADE	力量
CREATE_CREATE	製作
CREATE_DEX_GRADE	敏捷
CREATE_HP	體力
CREATE_LAST_POINT	剩餘點數
CREATE_NAME	角色名稱
CREATE_NEXT	下一頁
CREATE_PREV	上一頁
CREATE_SHAPE	基本服裝
CREATE_SP	智力
CREATE_STAT_RESET	初始化
EMPIRE_EXIT	離開
EMPIRE_NEXT	下一頁
EMPIRE_PREV	上一頁
EMPIRE_SELECT	選擇
EXCHANGE_ACCEPT	同意
EXCHANGE_TITLE	交換
GAMEOPTION_TITLE	遊戲選項
GAME_EXIT_OBSERVER	結束
GAME_HELP	說明
GAME_QUEST	任務
GAME_SKILL_UP	技術修練
GAME_STAT_UP	能力修練
GUILD_BASENAME	基地名稱
GUILD_BOARD_ID	帳號
GUILD_BOARD_REFRESH	更新 (F5)
GUILD_BOARD_TEXT	內容
GUILD_BUILDING_CATEGORY_TITLE	建築種類
GUILD_BUILDING_CHANGE	變更建築位置
GUILD_BUILDING_DIRECTION	方向
GUILD_BUILDING_GRADE	等級
GUILD_BUILDING_INFO	建築資訊及維護資訊
GUILD_BUILDING_LIST_TITLE	建築清單
GUILD_BUILDING_NAME	建築名稱
GUILD_BUILDING_OPERATE	啟動
GUILD_BUILDING_POSITION	位置
GUILD_BUILDING_PREVIEW	瀏覽
GUILD_BUILDING_REFRESH	更新 (F5)
GUILD_BUILDING_TITLE	建造公會建築
GUILD_CRYSTAL	修正
GUILD_DEPOSIT	入帳
GUILD_DROP_RESOURCE1	請把資源
GUILD_DROP_RESOURCE2	放在這裡
GUILD_GEM	寶石
GUILD_GRADE_CHANGE_GRADE_NAME	要變更的職位名稱
GUILD_GRADE_NUM	等級
GUILD_GRADE_PERMISSION_DELETE	驅離權限
GUILD_GRADE_PERMISSION_JOIN	加入權限
GUILD_GRADE_PERMISSION_NOTICE	公告權限
GUILD_GRADE_PERMISSION_SKILL	技能權限
GUILD_GRADE_RANK	職位
GUILD_GRADE_WRITE	上傳文章
GUILD_INFO	公會基本資訊
GUILD_INFO_CUR_EXP	目前經驗值
GUILD_INFO_DECALRE_WAR	公會宣戰
GUILD_INFO_ENEMY_GUILD	戰爭中的公會
GUILD_INFO_ENEMY_GUILD_EMPTY	無
GUILD_INFO_LEVEL	公會等級
GUILD_INFO_MARK	公會徽章
GUILD_INFO_MASTER	公會首領
GUILD_INFO_MASTER_VALUE	公會首領
GUILD_INFO_MEMBER_AVG_LEVEL	公會員平均等級
GUILD_INFO_MEMBER_NUM	公會人數
GUILD_INFO_NAME	公會名稱
GUILD_INFO_NAME_VALUE	這是公會名稱
GUILD_INFO_OFFER_EXP	投資
GUILD_INFO_REST_EXP	剩餘經驗值
GUILD_INFO_UPLOAD_MARK	上傳標誌
GUILD_INFO_UPLOAD_SYMBOL	上傳徽章
GUILD_MARK	公會標誌
GUILD_MEMBER_JOB	職業
GUILD_MEMBER_KNIGHT	張數
GUILD_MEMBER_LEVEL	等級
GUILD_MEMBER_NAME	名稱
GUILD_MEMBER_RANK	職位
GUILD_MEMBER_SPECIFIC_GRAVITY	名聲
GUILD_METIN_STONE	靈石
GUILD_MINENAL	光石
GUILD_MONEY	公會資金
GUILD_NAME	公會
GUILD_RESOURCE_INFO	資源資訊
GUILD_SKILL_ACTIVE	主動
GUILD_SKILL_PASSIVE	被動
GUILD_SKILL_POWER	龍神力
GUILD_SKILL_STATE	公會的技能
GUILD_SKIlL_HEAL_GSP	恢復龍神力
GUILD_SYMBOL	公會徽章
GUILD_WAR_ACCEPT	接受公會戰
GUILD_WAR_BATTLE_TYPE	戰鬥方式
GUILD_WAR_CTF	守護
GUILD_WAR_DECLARE	申請公會戰
GUILD_WAR_ENEMY	對方公會
GUILD_WAR_NORMAL	霸王
GUILD_WAR_WARP	盟長
GUILD_WATER	水
GUILD_WATER_STONE	水石
GUILD_WITHDRAW	取出
HELP_ATTACK_KEY	 - 可以使用<Space> 或滑鼠左鍵攻擊
HELP_CHANGE_PK_MODE	- 按<Ctrl> + <B> 可以切換 PK 模式
HELP_CHARACTER_BUTTON1	(開啟角色, 背包, 聊天
HELP_CHARACTER_BUTTON2	視窗)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	- 可以用滑鼠中間按鍵隨時操作鏡頭
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	- 按住Ctrl滑鼠按右鍵可以操作鏡頭
HELP_EXP	經驗值
HELP_FURY	商城
HELP_GUILD_WINDOW	- 按<Alt> + <G> 鍵可以開關公會欄
HELP_HELP	- 要看說明可以按 <H> 鍵或按系統選單的按鍵
HELP_HP	生命力
HELP_MESSENGER_WINDOW	- 按<Alt> + <M> 鍵可以開關即時通
HELP_MOUSE_LEFT	滑鼠左鍵功能
HELP_MOUSE_RIGHT	滑鼠右鍵功能
HELP_MOVE_KEY	-可以按 <W>, <S>, <A>, <D> 與方向鍵移動
HELP_OPEN_CHARACTER	- 按<C> 鍵開啟角色欄
HELP_OPEN_CHAT	-按<ENTER>鍵開起聊天視窗
HELP_OPEN_INVENTORY	- 按<I> 鍵開啟背包欄
HELP_OPEN_LOG	-按 <L>鍵可以查看之前的對話
HELP_OPEN_MINIMAP	- 按<Shift> + <M>可以開關小地圖 
HELP_OPEN_QUEST	-按 <N> 鍵開啟任務欄
HELP_OPEN_SKILL	- 按<V> 鍵開啟技能欄
HELP_OPEN_WHISPER	- 按<Shift> + <ENTER> 可以開啟簡訊視窗
HELP_OPEN_ZONEMAP	-按 <M>鍵可以開關大地圖
HELP_PICK_ITEM	- 按<~> 可以獲得道具
HELP_QUICKSLOT	快捷列
HELP_SCREEN_CAPTURE	- 按<Print Screen> 鍵可以將截圖儲存在我的文件/METIN2
HELP_SHOW_ALL_NAME	-按住 <Alt> 可以顯示所有角色與道具的名稱
HELP_SP	精神力
HELP_SYSTEM_BUTTON	系統按鍵
INVENTORY_PAGE_BUTTON_TOOLTIP_1	第一個背包
INVENTORY_PAGE_BUTTON_TOOLTIP_2	第二個背包
INVENTORY_TITLE	背包
LOAD_ERROR	資料檔案遺失. 請重新安裝. 請按ESC鍵
LOGIN_CONNECT	登入
LOGIN_CONNECTING	您以登入伺服器
LOGIN_DEFAULT_SERVERADDR	伺服器名稱, 分流 1
LOGIN_EXIT	結束
LOGIN_REGION_TITLE	選擇結算區
LOGIN_SELECT_BUTTON	選擇
LOGIN_SELECT_EXIT	結束
LOGIN_SELECT_OK	確認
LOGIN_SELECT_TITLE	選擇伺服器
MALL_PASSWORD_TITLE	密碼
MALL_TITLE	道具商城倉庫
MARKET_TITLE	露天拍賣
MARKLIST_REFRESH	更新 (F5)
MARKLIST_TITLE	登記公會標誌
MESSAGE	你有新訊息
MESSENGER_ADD_FRIEND	加入好友
MESSENGER_DELETE_FRIEND	刪除好友/公會成員
MESSENGER_MOBILE	傳送簡訊
MESSENGER_OPEN_GUILD	公會介面
MESSENGER_TITLE	社交
MESSENGER_USE_GUILD_MOVE_SKILL	使用公會移動技能
MESSENGER_WHISPER	悄悄話
MINIMIZE	縮小
MOUSEBUTTON_ATTACK	攻擊
MOUSEBUTTON_AUTO_ATTACK	自動
MOUSEBUTTON_CAMERA	鏡頭
MOUSEBUTTON_SKILL	技能
MUSICLIST_TITLE	背景音效目錄
NO	不是
OK	確認
OPTION_ALWAYS_SHOW_NAME	查看姓名
OPTION_ALWAYS_SHOW_NAME_OFF	暫時
OPTION_ALWAYS_SHOW_NAME_ON	經常
OPTION_BLOCK	封鎖
OPTION_BLOCK_EXCHANGE	交換
OPTION_BLOCK_FRIEND	好友
OPTION_BLOCK_GUILD	公會
OPTION_BLOCK_PARTY	邀請組隊
OPTION_BLOCK_PARTY_REQUEST	加入隊伍
OPTION_BLOCK_WHISPER	紙條
OPTION_CAMERA_DISTANCE	鏡頭
OPTION_CAMERA_DISTANCE_LONG	長距離
OPTION_CAMERA_DISTANCE_SHORT	短距離
OPTION_DELETE_MOBILE_BUTTON	刪除編號
OPTION_EFFECT	打擊數值
OPTION_FOG	霧
OPTION_FOG_DENSE	深
OPTION_FOG_LIGHT	淺
OPTION_FOG_MIDDLE	普通
OPTION_INPUT_MOBILE_BUTTON	輸入號碼
OPTION_MOBILE	手機
OPTION_MUSIC	背景音效
OPTION_MUSIC_CHANGE	切換角色
OPTION_MUSIC_DEFAULT_THEMA	Metin 2 基本主題
OPTION_NAME_COLOR	姓名顏色
OPTION_NAME_COLOR_EMPIRE	帝國顏色
OPTION_NAME_COLOR_NORMAL	一般顏色
OPTION_PVPMODE	PvP 模式
OPTION_PVPMODE_FREE	自由
OPTION_PVPMODE_FREE_TOOLTIP	可以攻擊所有玩家
OPTION_PVPMODE_GUILD	公會
OPTION_PVPMODE_GUILD_TOOLTIP	除了公會員之外可以攻擊所有玩家
OPTION_PVPMODE_PEACE	和平
OPTION_PVPMODE_PEACE_TOOLTIP	不對任何玩家先攻(可以反擊)
OPTION_PVPMODE_REVENGE	懲罰
OPTION_PVPMODE_REVENGE_TOOLTIP	只能攻擊其他隊伍玩家
OPTION_SOUND	音效
OPTION_TARGET_BOARD	敵清單
OPTION_TARGET_BOARD_NO_VIEW	關閉
OPTION_TARGET_BOARD_VIEW	查看
OPTION_TILING	TILING
OPTION_TILING_APPLY	適用
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	選項
OPTION_VIEW_CHAT	聊天窗
OPTION_VIEW_CHAT_OFF	關閉
OPTION_VIEW_CHAT_ON	查看
OPTION_SHADOW	陰影
PARTY_MEMBER_INFO_NAME	隊員名稱
PASSWORD_TITLE	倉庫密碼
PICK_MONEY_TITLE	應付金額
PRIVATE_SHOP_CLOSE_BUTTON	關閉
PRIVATE_SHOP_NAME	商店名稱
PRIVATE_SHOP_TITLE	開設個人商店
REFINE_COST	改良費用 : 0兩
REFINE_INFO	改良成功機率 : 100%
REFINE_TTILE	改良
RESTART_HERE	原地重新開始
RESTART_TOWN	在村莊重新開始
SAFE_CHANGE_PASSWORD	變更密碼
SAFE_TITLE	倉庫
SELECT_ATT_GRADE	力量
SELECT_CREATE	創建角色
SELECT_DELETE	刪除
SELECT_DEX_GRADE	敏捷
SELECT_EMPIRE_NAME	國家名稱
SELECT_EXIT	離開
SELECT_HP	體力
SELECT_LEVEL	等級
SELECT_METIN_STONE_TITLE	選擇要使用的靈石
SELECT_NAME	名稱
SELECT_NO_GUILD	沒有所屬公會
SELECT_PLAYTIME	遊戲時間
SELECT_SELECT	開始
SELECT_SP	智力
SELECT_TITLE	稱號
SHOP_BUY	買入
SHOP_SELL	賣出
SHOP_TITLE	商店
SKILL_SUPPORT_TITLE	輔助
SYSTEMOPTION_TITLE	系統選項
SYSTEM_CHANGE	切換角色
SYSTEM_EXIT	返回視窗
SYSTEM_HELP	說明
SYSTEM_LOGOUT	登出
SYSTEM_MALL	道具商城
SYSTEM_OPTION	系統設定
TASKBAR_CHARACTER	角色[C/V/B/N]
TASKBAR_CHAT	聊天窗
TASKBAR_INVENTORY	背包[I]
TASKBAR_MESSENGER	即時通
TASKBAR_NEXT_QUICKSLOT	後快捷列[shift+編號, alt]
TASKBAR_PREV_QUICKSLOT	前快捷列[shift+編號]
TASKBAR_SYSTEM	系統[ESC]
WHISPER_BAN	封鎖
WHISPER_NAME	聊天對象名稱
WHISPER_SEND	送出
WHISPER_REPORT	申訴
YES	是
ZONE_MAP	大地圖
GUILD_BUILDING_PRICE	價格
GUILD_BUILDING_STONE	草石
GUILD_BUILDING_LOG	原木
GUILD_BUILDING_PLY	膠合板
CUBE_TITLE	製造介面
CREATE_SEX	性別
CREATE_MAN	男性
CREATE_WOMAN	女性
REPORT_VIOLENT_WHISPER	不良對話申訴
PASSWORD_DESC_1	請輸入進入倉庫的
PASSWORD_DESC_2	密碼
COSTUME_WINDOW_TITLE	時裝
OPTION_SALESTEXT	擺攤招牌
